dihard2019_ivectors_15_1, {"der": 6.39, "eer": 5.558, "dcf": 0.6572}, {"der": 5.5, "eer": 4.421, "dcf": 0.5778}, {"der": 5.945, "eer": 4.9895, "dcf": 0.6174999999999999}
dihard2019_ivectors_15_2, {"der": 4.92, "eer": 4.042, "dcf": 0.5253}, {"der": 13.65, "eer": 12.38, "dcf": 0.9441}, {"der": 9.285, "eer": 8.211, "dcf": 0.7347}
dihard2019_ivectors_20_0, {"der": 5.59, "eer": 4.127, "dcf": 0.4534}, {"der": 4.57, "eer": 2.382, "dcf": 0.3936}, {"der": 5.08, "eer": 3.2545, "dcf": 0.4235}
dihard2019_ivectors_20_1, {"der": 4.9, "eer": 3.438, "dcf": 0.4432}, {"der": 4.99, "eer": 3.358, "dcf": 0.4444}, {"der": 4.945, "eer": 3.398, "dcf": 0.4438}
dihard2019_ivectors_20_2, {"der": 5.5, "eer": 4.604, "dcf": 0.5342}, {"der": 4.96, "eer": 3.284, "dcf": 0.4045}, {"der": 5.23, "eer": 3.944, "dcf": 0.46935000000000004}
dihard2019_xvectors_5_0, {"der": 10.75, "eer": 10.31, "dcf": 0.7564}, {"der": 10.82, "eer": 10.75, "dcf": 0.791}, {"der": 10.785, "eer": 10.530000000000001, "dcf": 0.7737}
dihard2019_xvectors_5_1, {"der": 12.06, "eer": 12.13, "dcf": 0.8361}, {"der": 13.3, "eer": 12.35, "dcf": 0.7996}, {"der": 12.68, "eer": 12.24, "dcf": 0.81785}
dihard2019_xvectors_5_2, {"der": 11.14, "eer": 10.75, "dcf": 0.7992}, {"der": 11.79, "eer": 12.24, "dcf": 0.863}, {"der": 11.465, "eer": 11.495000000000001, "dcf": 0.8311}
dihard2019_xvectors_10_0, {"der": 8.11, "eer": 7.662, "dcf": 0.6682}, {"der": 9.12, "eer": 8.549, "dcf": 0.7309}, {"der": 8.614999999999998, "eer": 8.1055, "dcf": 0.69955}
dihard2019_xvectors_10_1, {"der": 19.7, "eer": 19.47, "dcf": 0.9771}, {"der": 7.96, "eer": 7.612, "dcf": 0.697}, {"der": 13.83, "eer": 13.541, "dcf": 0.83705}
dihard2019_xvectors_10_2, {"der": 10.01, "eer": 8.873, "dcf": 0.8534}, {"der": 7.94, "eer": 6.787, "dcf": 0.6322}, {"der": 8.975, "eer": 7.83, "dcf": 0.7428}
dihard2019_xvectors_15_0, {"der": 13.63, "eer": 14.47, "dcf": 0.984}, {"der": 12.77, "eer": 13.62, "dcf": 0.8958}, {"der": 13.2, "eer": 14.045, "dcf": 0.9399}
